task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
104	0a/84f5ab	468084	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_BUSTED (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007363.1_cds_YP_308671.1_10)	COMPLETED	0	2025-08-13 21:43:36.245	3h 45m 50s	3h 45m 46s	397.8%	6.6 GB	7.3 GB	3.4 MB	22.9 MB
108	de/4c7f5d	468082	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_RELAX (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007363.1_cds_YP_308671.1_10)	FAILED	140	2025-08-13 21:43:31.245	3h 59m 30s	3h 59m 25s	-	-	-	-	-
107	d6/a5b922	468085	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_PRIME (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007363.1_cds_YP_308671.1_10)	FAILED	140	2025-08-13 21:43:39.247	3h 59m 22s	3h 59m 20s	-	-	-	-	-
94	71/f2c21e	468070	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_BUSTED (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007359.1_cds_YP_006495800.1_5)	COMPLETED	0	2025-08-13 20:44:01.128	5h 21m 6s	5h 21m 5s	338.0%	8 GB	8.4 GB	3.9 MB	29.1 MB
116	b1/6cbb33	468089	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_BUSTED (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007359.1_cds_YP_308666.1_4)	FAILED	140	2025-08-13 22:21:56.341	3h 59m 5s	3h 59m	-	-	-	-	-
111	23/fe6999	468090	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_MEME (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007359.1_cds_YP_308666.1_4)	FAILED	140	2025-08-13 22:21:58.342	3h 59m 3s	3h 59m	-	-	-	-	-
115	89/6287a3	468093	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_PRIME (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007359.1_cds_YP_308666.1_4)	FAILED	140	2025-08-13 22:22:07.341	3h 59m 24s	3h 59m 20s	-	-	-	-	-
114	53/54ef01	468091	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_CONTRASTFEL (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007359.1_cds_YP_308666.1_4)	FAILED	140	2025-08-13 22:22:01.340	3h 59m 30s	3h 59m 25s	-	-	-	-	-
112	89/42364c	468094	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_FEL (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007359.1_cds_YP_308666.1_4)	FAILED	140	2025-08-13 22:22:10.342	3h 59m 21s	3h 59m 20s	-	-	-	-	-
113	13/ccd830	468092	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_RELAX (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007359.1_cds_YP_308666.1_4)	FAILED	140	2025-08-13 22:22:04.341	3h 59m 27s	3h 59m 25s	-	-	-	-	-
118	fd/afdf62	468096	HYPHY_CAPHEINE:CAPHEINE:HYPHY_ANALYSES:HYPHY_FEL (GCF_000864105.1_noTerminalStopCodon.part_lcl__NC_007361.1_cds_YP_308668.1_8)	FAILED	140	2025-08-13 22:35:26.377	3h 59m 5s	3h 59m	-	-	-	-	-
